Year,Quarter,MType,資料日期,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
2025,2,sii,2025-11-17,8201,無敵,-8704,2536,-1410,-2420,-9998,255826,245828
2025,2,sii,2025-11-17,8210,勤誠,1526699,-34273,98547,-320822,1270151,3799819,5069970
2025,2,sii,2025-11-17,8213,志超,358873,-2858922,-210599,-1113204,-3823852,11340638,7516786
2025,2,sii,2025-11-17,8215,明基材,891720,-947981,85100,-82230,-53391,684063,630672
2025,2,sii,2025-11-17,8222,寶一,-53933,-66634,51918,,-68649,222419,153770
2025,2,sii,2025-11-17,8249,菱光,-88613,61198,192760,-178510,-13165,3103866,3090701
2025,2,sii,2025-11-17,8261,富鼎,488714,-340590,11568,-45299,114393,662988,777381
2025,2,sii,2025-11-17,8271,宇瞻,-735682,553430,5792,-56384,-232844,1072751,839907
2025,2,sii,2025-11-17,8341,日友,750343,-182299,-606304,-23116,-61376,741113,679737
2025,2,sii,2025-11-17,8367,建新國際,345260,-569073,-3379,,-227192,683376,456184
2025,2,sii,2025-11-17,8374,羅昇,173824,-17410,-430713,-56812,-331111,1237604,906493
2025,2,sii,2025-11-17,8404,百和興業-KY,577990,-734438,248695,-274089,-181842,1581668,1399826
2025,2,sii,2025-11-17,8411,福貞-KY,211365,-170228,46822,-99612,-11653,1547536,1535883
2025,2,sii,2025-11-17,8422,可寧衛*,455426,-1196894,-175255,-2912,-919635,2308637,1389002
2025,2,sii,2025-11-17,8429,金麗-KY,10532,-73,,-412286,-401827,4783406,4381579
2025,2,sii,2025-11-17,8438,昶昕,87508,4508,-33848,-45754,12414,490296,502710
2025,2,sii,2025-11-17,8442,威宏-KY,218502,-120855,59364,-341627,-184616,1166717,982101
2025,2,sii,2025-11-17,8443,阿瘦,67237,28222,-72608,0,22851,230468,253319
2025,2,sii,2025-11-17,8454,富邦媒,1756395,-1094060,-428294,-282,233759,5059526,5293285
2025,2,sii,2025-11-17,8462,柏文,913549,-309034,-463347,,141168,935776,1076944
2025,2,sii,2025-11-17,8463,潤泰材,96382,-216115,-94962,,-214695,905794,691099
2025,2,sii,2025-11-17,8464,億豐,2781570,-515772,-4491852,-273076,-2499130,15856666,13357536
2025,2,sii,2025-11-17,8466,美吉吉-KY,565005,15287,477954,-210967,847279,904626,1751905
2025,2,sii,2025-11-17,8467,波力-KY,364414,-140879,-17752,-164442,41341,1458595,1499936
2025,2,sii,2025-11-17,8473,山林水,58945,-81199,145022,,122768,2750908,2873676
2025,2,sii,2025-11-17,8476,台境*,106072,-152370,90633,-1157,43178,254028,297206
2025,2,sii,2025-11-17,8478,東哥遊艇,354633,-280224,130140,-558685,-354136,2498689,2144553
2025,2,sii,2025-11-17,8481,政伸,121414,-207828,-3653,-71378,-161445,665147,503702
2025,2,sii,2025-11-17,8482,商億-KY,166609,-41708,-263756,-94085,-232940,1112760,879820
2025,2,sii,2025-11-17,8487,愛爾達-創,-278284,80680,-49526,-254,-247384,335422,88038
2025,2,sii,2025-11-17,8488,吉源-KY,-387225,66341,-105996,-26910,-453790,784309,330519
2025,2,sii,2025-11-17,8499,鼎炫-KY,196831,-476583,-127767,-809329,-1216848,5979787,4762939
2025,2,sii,2025-11-17,8926,台汽電,1281897,-38577,-365299,9153,887174,1843366,2730540
2025,2,sii,2025-11-17,8940,新天地,91013,-32246,-118556,,-59789,305708,245919
2025,2,sii,2025-11-17,8996,高力,-31276,-169205,-156320,-24665,-381466,1871305,1489839
2025,2,sii,2025-11-17,9802,鈺齊-KY,-287575,-1016784,144332,-181266,-1341293,3378425,2037132
2025,2,sii,2025-11-17,9902,台火,49574,-19074,-768,,29732,181968,211700
2025,2,sii,2025-11-17,9904,寶成,8070413,-3127080,2857898,-7394529,406702,29926773,30333475
2025,2,sii,2025-11-17,9905,大華,72903,185402,413,-199703,59015,662151,721166
2025,2,sii,2025-11-17,9906,欣巴巴,-1672018,-14031,552068,,-1133981,1365148,231167
2025,2,sii,2025-11-17,9907,統一實,1935253,-927848,-874897,-740431,-607923,4043771,3435848
2025,2,sii,2025-11-17,9908,大台北,378708,-151687,102231,,329252,2903616,3232868
2025,2,sii,2025-11-17,9910,豐泰,2440971,-1446289,-2401319,-705907,-2112544,5140543,3027999
2025,2,sii,2025-11-17,9911,櫻花,400829,-291258,-1118765,196,-1008998,2409248,1400250
2025,2,sii,2025-11-17,9912,偉聯,-27854,-2645,57814,-2280,25035,76577,101612
2025,2,sii,2025-11-17,9914,美利達,1315107,165506,-1569676,-128305,-217368,3640467,3423099
2025,2,sii,2025-11-17,9917,中保科,1825740,-1303344,-110309,0,412087,5459747,5871834
