Year,Quarter,MType,資料日期,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,權益總額,權益－具證券性質之虛擬通貨,保留盈餘（或累積虧損）,歸屬於母公司業主權益合計,母公司暨子公司持有之母公司庫藏股股數（單位：股）
2025,4,otc,2026-03-02,6640,均華,2602706,2561576,5164282,2254554,454826,2709380,285175,,462664,580116,1301262,-174315,2454902,,,0,2454902,0,0,250000,86.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,otc,2026-03-02,6664,群翊,7307492,1588760,8896252,3374803,1274839,4649642,608066,,904295,2748188,-13939,,4246610,0,,0,4246610,,0,0,69.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,otc,2026-03-02,6690,安碁資訊,2552130,2267498,4819628,1032423,648795,1681218,299997,,2289805,585032,-36424,,3138410,,,,3138410,0,0,0,104.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,otc,2026-03-02,6692,進能服,1598792,339046,1937838,820238,40268,860506,588239,,297538,203002,-17459,,1071320,0,,6012,1077332,0,47500,0,18.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,otc,2026-03-02,6733,博晟生醫,636430,178948,815378,36163,21576,57739,1243560,,-273,-482927,-18267,,742093,,,15546,757639,0,0,0,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,otc,2026-03-02,6767,台微醫,501559,209126,710685,58523,79440,137963,391836,,325191,-144359,54,,572722,,,,572722,,0,0,14.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,otc,2026-03-02,6877,鏵友益,865630,396075,1261705,152154,197941,350095,469671,,390957,71163,-20181,0,911610,,,,911610,0,0,0,19.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,otc,2026-03-02,6907,雅特力-KY,1261264,77294,1338558,262359,15706,278065,511740,,186482,332079,30192,,1060493,,,,1060493,,0,0,20.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,otc,2026-03-02,7753,星亞,643127,253209,896336,304128,41241,345369,250000,,141352,159615,,,,,,,550967,,0,0,22.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,otc,2026-03-02,8040,九暘,2236166,316545,2552711,100688,7882,108570,964139,,1538222,-58220,0,,,,,,2444141,0,0,0,25.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
